  0.8350000000000000D+01    6
  0.2211313321219523D+01
    1  315   12
  327  327  327  327  327  327  327  327  327  327
  327  327
  0.1210672322241153D-04 -0.6003096096499756D-04  0.3776573502097725D-04
  0.5343223280650994D-05  0.2279888560252850D-04  0.3127316638123129D-04
 -0.5384327397478126D-04  0.3187328185167391D-04 -0.4344750824162063D-04
  0.1662244103793655D-04  0.5026968876024908D-04 -0.6742986733669087D-05
  0.4856425296884911D-04 -0.7886587319873163D-05 -0.1029331509111918D-04
  0.1359187503006439D-04  0.2246920245878339D-04  0.4341868945953330D-04
 -0.3214251969963709D-04  0.2024945013611224D-04  0.3302131458610159D-06
 -0.1557931666022428D-04 -0.4768957419464195D-05 -0.1069339173100377D-04
  0.7057415492342543D-05  0.2033313219775067D-04 -0.3435838011659527D-04
 -0.6160564429051913D-05 -0.2671254474557328D-04  0.1602737142247571D-04
  0.2338161529696419D-04  0.2694501433820838D-04 -0.2495400962206794D-05
  0.1682328754667866D-04 -0.1014805007306169D-04 -0.5295421269078652D-05
 -0.2336225199321600D-04 -0.7938596777595642D-05 -0.1168676822200966D-04
 -0.1144150508221457D-04  0.1053726961002747D-04  0.9435665547465530D-05
 -0.1620023604701189D-05 -0.6598528741060054D-05 -0.3325375141968186D-05
  0.1119918175228113D-04  0.9809016582562313D-05 -0.1455872338443648D-04
 -0.4215020558438790D-05 -0.1130878531813060D-04 -0.8248517578069228D-05
 -0.1543919449357171D-04 -0.3426726307672201D-06 -0.1282687221177221D-04
 -0.1113565996254151D-04 -0.6710527113359759D-05  0.1596640482291661D-06
  0.5848873541028701D-05 -0.1108055472328018D-04  0.1174171469062148D-04
  0.5635413756543662D-05  0.4765883247868072D-05 -0.8277601927872492D-05
  0.2161106666907184D-05  0.3699129043057769D-05  0.1071050348739553D-04
  0.9428207696643484D-05  0.5761889492124378D-05 -0.3351385028943128D-06
 -0.7985241800152276D-05 -0.7902155520859770D-06  0.6208647978743572D-05
  0.5775889539973047D-05  0.2623891577797137D-05  0.4069781112939179D-05
  0.5000446365075472D-05 -0.4133651811040980D-05  0.2596354077707949D-05
  0.2296809467727239D-05 -0.1819033467358109D-05 -0.4299548025722405D-05
 -0.3546797028090510D-05 -0.1849542542826169D-05  0.4422525664156052D-06
  0.4841319578197601D-06  0.1168392649130630D-05 -0.3505894108113291D-05
 -0.1784952712723056D-05 -0.9236244468443658D-06  0.1503323753350484D-06
 -0.2026860629837823D-06  0.8174392222147508D-06  0.2438926515537320D-05
  0.9819230003758724D-06  0.1223764726298575D-05 -0.4795831799112423D-06
  0.1566554375665327D-05  0.6092742875320927D-06 -0.1411786687156773D-05
  0.6098897415915802D-07  0.6556371725785223D-07 -0.1968391780032577D-05
  0.4015558359511488D-06 -0.1739323781313451D-05  0.2514627257326876D-06
  0.1333101207960700D-05  0.1436608047082505D-05 -0.6542182635066819D-06
 -0.8565349016290857D-06  0.6993275423486797D-07 -0.2390836557515859D-06
  0.4720649135825182D-06  0.1265369316094290D-05  0.1001414333310453D-05
 -0.1033488310385837D-05 -0.4761287239739697D-06  0.1130048171674162D-05
 -0.4647285010108149D-06  0.6149440674629689D-06 -0.8396291229511153D-06
  0.8973167443646150D-07 -0.4003814128604949D-06  0.2841471637332379D-06
  0.2807074307574898D-06  0.9731036258132651D-07  0.6561433916609782D-06
 -0.4158393137586179D-06 -0.9335032882692671D-07  0.1801885898535883D-06
  0.4204044967861817D-06 -0.4297197092310150D-06  0.4678619289402499D-06
 -0.1744119408341649D-06 -0.1426565703066206D-06 -0.1161926852561308D-06
 -0.1678027346073221D-06 -0.3106712327099207D-06  0.2059174757559477D-06
  0.6480959268349281D-07  0.2149695149839617D-06 -0.8378906640701079D-07
 -0.1183404420655143D-07 -0.2280013493461514D-06  0.1739345737597730D-06
  0.2325459461565786D-06  0.1505408837910905D-06 -0.3743255889336845D-07
 -0.1269794725963274D-06 -0.7779835952391308D-07 -0.1281308258498390D-06
 -0.7333426064575488D-07 -0.1198415026527463D-06 -0.1013460886852699D-06
  0.1636222010898979D-07 -0.7780034109651574D-07 -0.6674514299597412D-08
 -0.2204310296754707D-07 -0.3956493269778439D-07 -0.5209406440488166D-08
  0.3376501769340836D-07  0.3983875256110013D-07  0.4269559742267384D-07
  0.2356984557587508D-07 -0.1814509574912142D-07  0.2066514278930852D-07
 -0.3783163677057629D-07  0.3561548352339966D-08  0.2201704457337619D-08
 -0.1048782657098961D-07 -0.1716700326714027D-07 -0.1524712331936561D-07
  0.2570384176095675D-08 -0.1261267420268352D-07  0.3784208645558748D-08
 -0.3812843244669101D-08  0.2054876150192742D-07  0.1678853529743955D-07
 -0.6409089485927719D-08 -0.8800394126384781D-08  0.1249370485235727D-07
  0.1576221418778801D-07  0.6243760665702038D-08  0.5627501602732812D-08
 -0.8685189631103629D-08  0.5987817935504759D-08 -0.3932474672027175D-08
  0.2055849397771752D-08 -0.4645899533249282D-08 -0.5968621767323486D-09
  0.3437364516317041D-08 -0.4093515924689581D-08 -0.7889539161526800D-09
