    1
  315
 -0.2882418053979255D-02  0.1708665160886766D-02  0.1361158279626687D-02
  0.4335467699469344D-02  0.1518518554588638D-02  0.1915487010975983D-02
  0.2107857529980749D-02 -0.1729542565701555D-02 -0.1706672761592198D-02
  0.4472980366590492D-03  0.1245929339942758D-02  0.4375772522700937D-03
 -0.2217136901296412D-02 -0.1746053508740020D-02  0.2663815860762420D-02
  0.1051447469485458D-02  0.2107777344416858D-02  0.1767789085215467D-02
  0.2909628747042490D-02 -0.3078980565049486D-05  0.2426139800330765D-02
  0.2211986792655453D-02  0.1323351358209134D-02 -0.1147301794980887D-03
 -0.1203011214025328D-02  0.2274065059379649D-02 -0.2149533624006591D-02
 -0.1137831789072982D-02 -0.1068339726172707D-02  0.1551316342130049D-02
 -0.4791805211985375D-03 -0.7545537268802497D-03 -0.2143193764666108D-02
 -0.1899434439707882D-02 -0.1212105007097930D-02 -0.1941266258711627D-04
  0.1644391194204344D-02  0.2290753597364859D-03 -0.1373243098371166D-02
 -0.1307032460840302D-02 -0.5714372433192619D-03 -0.8971831317923218D-03
 -0.1170431769987122D-02  0.9838127041878779D-03 -0.5669593825951159D-03
 -0.5603696345316640D-03  0.4250589908618122D-03  0.1037226419849397D-02
  0.8522541221177883D-03  0.3880674608099576D-03 -0.7628287104907271D-04
 -0.1248551756687838D-03 -0.3119765454349632D-03  0.8297598818596237D-03
  0.4508211092032891D-03  0.2841408578211065D-03  0.3053498132493097D-04
  0.7264005846509863D-04 -0.3220144457349352D-03 -0.6392652043905247D-03
 -0.2654130252655672D-03 -0.3269381878370651D-03  0.1044553244297483D-03
 -0.3995546031870717D-03 -0.1730740601314110D-03  0.4042610915916881D-03
 -0.1669445929550824D-05  0.4305556838090717D-05  0.5532258929209134D-03
 -0.1322996605226837D-03  0.4993377945349064D-03 -0.9574233586391123D-04
 -0.4522259708583175D-03 -0.4326532557639484D-03  0.1180841775174279D-03
  0.3186048509310026D-03  0.4121891875491977D-04  0.7681676654877166D-04
 -0.1241775473066761D-03 -0.3876987109909680D-03 -0.2923827006976699D-03
  0.3067177653728368D-03  0.1574463323120772D-03 -0.3525280047169629D-03
  0.1116882993530607D-03 -0.1847061192732409D-03  0.2777644375080860D-03
