#core charge for As  SPIN = 1
 0.10639223  41.82674472
 0.10963692  42.72126281
 0.11298057  43.58362675
 0.11642620  44.39774068
 0.11997690  45.14755496
 0.12363590  45.81737345
 0.12740648  46.39217261
 0.13129206  46.85792621
 0.13529613  47.20192865
 0.13942232  47.41310950
 0.14367435  47.48233119
 0.14805606  47.40266193
 0.15257140  47.16961574
 0.15722444  46.78135178
 0.16201939  46.23882532
 0.16696057  45.54588368
 0.17205245  44.70930101
 0.17729961  43.73874734
 0.18270681  42.64668842
 0.18827890  41.44821470
 0.19402094  40.16079947
 0.19993809  38.80398840
 0.20603569  37.39902464
 0.21231926  35.96841593
 0.21879447  34.53545230
 0.22546715  33.12368535
 0.23234333  31.75638033
 0.23942921  30.45595960
 0.24673120  29.24344619
 0.25425588  28.13791991
 0.26201004  27.15602952
 0.27000069  26.31153960
 0.27823503  25.61495301
 0.28672050  25.07320322
 0.29546475  24.68945625
 0.30447568  24.46300070
 0.31376142  24.38924826
 0.32333036  24.45984248
 0.33319112  24.66287468
 0.34335261  24.98320174
 0.35382400  25.40285701
 0.36461474  25.90154197
 0.37573457  26.45718348
 0.38719353  27.04653845
 0.39900195  27.64582640
 0.41117051  28.23136884
 0.42371017  28.78021425
 0.43663226  29.27072824
 0.44994845  29.68312983
 0.46367074  29.99995731
 0.47781153  30.20645013
 0.49238358  30.29083692
 0.50740004  30.24452374
 0.52287446  30.06218077
 0.53882082  29.74172942
 0.55525349  29.28423594
 0.57218733  28.69372033
 0.58963760  27.97689246
 0.60762006  27.14282878
 0.62615094  26.20260450
 0.64524697  25.16889636
 0.66492537  24.05557096
 0.68520392  22.87727302
 0.70610092  21.64902633
 0.72763521  20.38585844
 0.74982626  19.10245837
 0.77269407  17.81287432
 0.79625929  16.53025693
 0.82054319  15.26664390
 0.84556769  14.03280944
 0.87135538  12.83816430
 0.89792952  11.69067490
 0.92531411  10.59684062
 0.95353386   9.56172020
 0.98261424   8.58898247
 1.01258150   7.68098848
 1.04346268   6.83889600
 1.07528567   6.06278132
 1.10807917   5.35177251
 1.14187279   4.70418939
 1.17669704   4.11768413
 1.21258333   3.58937968
 1.24956407   3.11600102
 1.28767262   2.69399688
 1.32694340   2.31964956
 1.36741183   1.98917125
 1.40911444   1.69878611
 1.45208888   1.44479790
