  0.20416  0.20416  0.25284  0.25284  0.37896  0.37896  0.53804  0.53804
  0.62245  0.62245  0.71826  0.71826  0.87196  0.87196  0.98482  0.98482
  1.02747  1.02747  1.16073  1.16073  1.16913  1.16913  1.30925  1.30925
   XP 1(  0  6 18)/ 36     N.O.ENERGY= 48
 -2.25494 -2.25494 -2.25342 -2.25342 -2.25266 -2.25266 -2.25149 -2.25149
 -2.20269 -2.20269 -2.20192 -2.20192 -2.20090 -2.20090 -2.19778 -2.19778
 -2.19721 -2.19721 -2.19669 -2.19669 -0.61638 -0.61638 -0.10160 -0.10160
  0.18788  0.18788  0.24455  0.24455  0.38262  0.38262  0.55029  0.55029
  0.62579  0.62579  0.71984  0.71984  0.87859  0.87859  1.02345  1.02345
  1.06986  1.06986  1.16711  1.16711  1.18016  1.18016  1.34009  1.34009
   XP 1(  0  6 24)/ 36     N.O.ENERGY= 48
 -2.25491 -2.25491 -2.25342 -2.25342 -2.25262 -2.25262 -2.25152 -2.25152
 -2.20267 -2.20267 -2.20186 -2.20186 -2.20084 -2.20084 -2.19784 -2.19784
 -2.19729 -2.19729 -2.19674 -2.19674 -0.60320 -0.60320 -0.13853 -0.13853
  0.17774  0.17774  0.23928  0.23928  0.37132  0.37132  0.57709  0.57709
  0.63248  0.63248  0.70818  0.70818  0.88293  0.88293  1.06310  1.06310
  1.12182  1.12182  1.20098  1.20098  1.21114  1.21114  1.38331  1.38331
   XP 1(  0  6 30)/ 36     N.O.ENERGY= 48
 -2.25488 -2.25488 -2.25341 -2.25341 -2.25257 -2.25257 -2.25155 -2.25155
 -2.20264 -2.20264 -2.20178 -2.20178 -2.20078 -2.20078 -2.19789 -2.19789
 -2.19735 -2.19735 -2.19680 -2.19680 -0.58735 -0.58735 -0.17876 -0.17876
  0.16972  0.16972  0.23730  0.23730  0.35877  0.35877  0.59794  0.59794
  0.64908  0.64908  0.68821  0.68821  0.88622  0.88622  1.10753  1.10753
  1.17803  1.17803  1.25210  1.25210  1.26109  1.26109  1.42995  1.42995
   XP 1(  0  6 36)/ 36     N.O.ENERGY= 48
 -2.25486 -2.25486 -2.25342 -2.25342 -2.25253 -2.25253 -2.25158 -2.25158
 -2.20262 -2.20262 -2.20172 -2.20172 -2.20073 -2.20073 -2.19795 -2.19795
 -2.19742 -2.19742 -2.19688 -2.19688 -0.57004 -0.57004 -0.21777 -0.21777
  0.16125  0.16125  0.23879  0.23879  0.35142  0.35142  0.60515  0.60515
  0.66073  0.66073  0.67869  0.67869  0.89436  0.89436  1.15717  1.15717
  1.23173  1.23173  1.29678  1.29678  1.32752  1.32752  1.42566  1.42566
   XP 1(  0  6 42)/ 36     N.O.ENERGY= 48
 -2.25483 -2.25483 -2.25342 -2.25342 -2.25248 -2.25248 -2.25162 -2.25162
 -2.20259 -2.20259 -2.20168 -2.20168 -2.20068 -2.20068 -2.19799 -2.19799
 -2.19746 -2.19746 -2.19697 -2.19697 -0.55336 -0.55336 -0.25138 -0.25138
  0.15180  0.15180  0.24379  0.24379  0.35110  0.35110  0.60385  0.60385
  0.63679  0.63679  0.70335  0.70335  0.91313  0.91313  1.20089  1.20089
  1.26596  1.26596  1.29415  1.29415  1.38585  1.38585  1.42348  1.42348
   XP 1(  0  6 48)/ 36     N.O.ENERGY= 48
 -2.25481 -2.25481 -2.25342 -2.25342 -2.25244 -2.25244 -2.25164 -2.25164
 -2.20256 -2.20256 -2.20165 -2.20165 -2.20064 -2.20064 -2.19801 -2.19801
 -2.19747 -2.19747 -2.19704 -2.19704 -0.54055 -0.54055 -0.27513 -0.27513
  0.14231  0.14231  0.25213  0.25213  0.35762  0.35762  0.59600  0.59600
  0.61317  0.61317  0.72380  0.72380  0.94431  0.94431  1.19417  1.19417
  1.24121  1.24121  1.30621  1.30621  1.41251  1.41251  1.48257  1.48257
   XP 1(  0  6 54)/ 36     N.O.ENERGY= 48
 -2.25479 -2.25479 -2.25342 -2.25342 -2.25242 -2.25242 -2.25164 -2.25164
 -2.20253 -2.20253 -2.20164 -2.20164 -2.20061 -2.20061 -2.19801 -2.19801
 -2.19746 -2.19746 -2.19709 -2.19709 -0.53549 -0.53549 -0.28458 -0.28458
